"","subnum","condition","task","order","trial","interference","date","max","exponent","threshold","correct","rt1","rt2","r","addends","sum","digits","int_score","trial_time","dot","dob","age","gender","abacus_q","finger.counter","male","gender.12"
"86",2,"interference","interference",2,13,1,"20130708T170531",14,1.2,9,1,2,2.71,28,1,28,"14   2  12",98,9.41,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"106",2,"interference","interference",2,18,1,"20130708T170531",15.8,1.2,10,0,9.79,10.66,37,1,39,"8  14  17",99,17.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"107",2,"interference","interference",2,19,1,"20130708T170531",14,1.2,9,1,0.68,1.43,23,1,23,"6   4  13",100,8.21,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"108",2,"interference","interference",2,20,1,"20130708T170531",15.8,1.2,10,0,7.99,8.78,48,1,38,"13  15  10",98,15.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"109",2,"interference","interference",2,21,1,"20130708T170531",14,1.2,9,1,0.9,1.72,24,1,24,"14   9   1",97,8.57,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"118",2,"interference","interference",2,17,1,"20130708T170531",17.8,1.2,11,0,6.14,6.98,24,1,35,"14   4  17",89,13.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"123",2,"interference","interference",2,22,1,"20130708T170531",15.8,1.2,10,1,0.53,1.23,21,1,21,"3  15   3",98,8.03,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"124",2,"interference","interference",2,23,1,"20130708T170531",17.8,1.2,11,1,3.44,4.4,27,1,27,"2   6  19",97,11,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"125",2,"interference","interference",2,24,1,"20130708T170531",19.7,1.2,12,0,4.35,5.1,33,1,43,"21  18   4",93,12,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"128",2,"interference","interference",2,14,1,"20130708T170531",15.8,1.2,10,0,1.81,2.62,19,1,29,"8  16   5",99,9.34,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"129",2,"interference","interference",2,15,1,"20130708T170531",14,1.2,9,1,7.29,8.08,24,1,24,"5   4  15",101,14.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"130",2,"interference","interference",2,16,1,"20130708T170531",15.8,1.2,10,1,1.57,2.42,24,1,24,"5   3  16",100,9.12,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"136",2,"interference","interference",2,25,1,"20130708T170531",17.8,1.2,11,0,16.93,17.63,45,1,46,"9  18  19",98,24.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"140",2,"interference","interference",2,29,1,"20130708T170531",21.7,1.2,13,1,0.84,1.61,47,1,47,"23  22   2",94,8.55,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"141",2,"interference","interference",2,26,1,"20130708T170531",15.8,1.2,10,1,2.69,3.51,40,1,40,"15  17   8",98,10.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"142",2,"interference","interference",2,27,1,"20130708T170531",17.8,1.2,11,1,8.23,9.17,37,1,37,"13   5  19",96,16,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"143",2,"interference","interference",2,28,1,"20130708T170531",19.7,1.2,12,1,3.72,4.4,43,1,43,"19  19   5",97,11.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"161",3,"baseline","baseline",4,4,0,"20130709T103327",2.3,1.2,2,1,3.93,4.37,4,1,4,"1  2  1",-1,7.14,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"162",3,"baseline","baseline",4,5,0,"20130709T103327",3.74,1.2,3,0,7.62,8.65,14,1,13,"4  4  5",-1,11.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"163",3,"baseline","baseline",4,6,0,"20130709T103327",2.3,1.2,2,1,8.09,8.94,7,1,7,"2  3  2",-1,11.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"164",3,"baseline","baseline",4,7,0,"20130709T103327",3.74,1.2,3,1,6.98,7.84,12,1,12,"4  3  5",-1,10.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"165",3,"baseline","baseline",4,8,0,"20130709T103327",5.28,1.2,4,1,5.74,6.55,13,1,13,"5  6  2",-1,9.66,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"179",3,"baseline","baseline",4,9,0,"20130709T103327",6.9,1.2,5,1,6.86,7.75,15,1,15,"4  5  6",-1,11,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"180",3,"baseline","baseline",4,10,0,"20130709T103327",8.59,1.2,6,1,4.69,5.46,20,1,20,"4  9  7",-1,8.77,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"237",3,"baseline","baseline",4,11,0,"20130709T103327",10.3,1.2,7,1,3.27,4.17,18,1,18,"2  10   6",-1,6.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"238",3,"baseline","baseline",4,12,0,"20130709T103327",12.1,1.2,8,0,6,6.75,27,1,29,"13   8   8",-1,9.59,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"239",3,"baseline","baseline",4,13,0,"20130709T103327",10.3,1.2,7,1,9.12,10.02,22,1,22,"8  5  9",-1,12.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"240",3,"baseline","baseline",4,14,0,"20130709T103327",12.1,1.2,8,1,6.79,7.55,26,1,26,"13   7   6",-1,10.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"241",3,"baseline","baseline",4,15,0,"20130709T103327",14,1.2,9,0,17.99,19.16,39,1,29,"8  15   6",-1,22.1,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"242",3,"baseline","baseline",4,16,0,"20130709T103327",12.1,1.2,8,1,4.8,5.56,32,1,32,"7  12  13",-1,8.54,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"243",3,"baseline","baseline",4,17,0,"20130709T103327",14,1.2,9,1,11.88,12.71,25,1,25,"6   4  15",-1,15.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"244",3,"baseline","baseline",4,18,0,"20130709T103327",15.8,1.2,10,0,6.46,7.44,30,1,32,"1  16  15",-1,10.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"245",3,"baseline","baseline",4,19,0,"20130709T103327",14,1.2,9,1,5.89,6.56,34,1,34,"13  13   8",-1,9.46,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"246",3,"baseline","baseline",4,20,0,"20130709T103327",15.8,1.2,10,1,6.96,7.84,20,1,20,"15   3   2",-1,10.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"263",3,"baseline","baseline",4,23,0,"20130709T103327",17.8,1.2,11,1,9.73,10.71,30,1,30,"4  18   8",-1,13.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"275",3,"baseline","baseline",4,22,0,"20130709T103327",15.8,1.2,10,1,5.19,6.36,34,1,34,"4  15  15",-1,9.53,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"276",3,"baseline","baseline",4,27,0,"20130709T103327",25.8,1.2,15,1,11.53,12.22,61,1,61,"25  12  24",-1,15.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"277",3,"baseline","baseline",4,24,0,"20130709T103327",19.7,1.2,12,1,12.01,12.72,41,1,41,"19  18   4",-1,15.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"278",3,"baseline","baseline",4,25,0,"20130709T103327",21.7,1.2,13,1,14.38,15,40,1,40,"8  23   9",-1,17.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"279",3,"baseline","baseline",4,26,0,"20130709T103327",23.7,1.2,14,1,5.4,6.16,43,1,43,"23   6  14",-1,9.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"280",3,"baseline","baseline",4,31,0,"20130709T103327",34.2,1.2,19,1,10.31,11.32,82,1,82,"35  15  32",-1,14.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"281",3,"baseline","baseline",4,28,0,"20130709T103327",27.9,1.2,16,1,10.77,11.63,62,1,62,"29  10  23",-1,14.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"282",3,"baseline","baseline",4,29,0,"20130709T103327",30,1.2,17,1,10.08,10.83,77,1,77,"30  27  20",-1,13.7,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
